id,title,release_date,moby_score,moby_url,platforms,genres,developers,publishers
141485,Final Fantasy VII: Remake,2020-04-10,8.86,https://www.mobygames.com/game/141485/final-fantasy-vii-remake/,PlayStation 4,"Role-playing (RPG), Anime / Manga, Fantasy, 3rd-person (Other), Cinematic camera, Japanese-style RPG (JRPG), Direct control","Square Enix Co., Ltd.","Square Enix, Inc., Square Enix Limited, Square Enix Co., Ltd."
42258,Batman: Arkham Asylum,2009-08-25,8.86,https://www.mobygames.com/game/42258/batman-arkham-asylum/,"Windows, Xbox 360, Macintosh, PlayStation 3","Action, Metroidvania, Fantasy, Licensed, Stealth, Thriller, Behind view, Direct control, Contemporary, North America",Rocksteady Studios Ltd,"Square Enix Co., Ltd., Eidos Interactive Limited, Feral Interactive Ltd."
59026,Guild Wars 2,2012-08-28,8.85,https://www.mobygames.com/game/59026/guild-wars-2/,"Windows, Macintosh","Role-playing (RPG), Fantasy, Persistent, Behind view, Massively Multiplayer, Action RPG, Direct control","ArenaNet, LLC",NCsoft Corporation
107419,God of War,2018-04-20,8.85,https://www.mobygames.com/game/107419/god-of-war/,"Windows, PlayStation 4, PlayStation Now","Action, Puzzle elements, Hack and slash, Fantasy, Behind view, RPG elements, Direct control","SCE Studio Santa Monica, SIE Santa Monica Studio","Playstation PC LLC, Sony Computer Entertainment America Inc., Sony Interactive Entertainment America LLC"
42180,Metroid Prime Trilogy,2009-08-24,8.85,https://www.mobygames.com/game/42180/metroid-prime-trilogy/,"Wii, Wii U","Action, 1st-person, Sci-fi / futuristic, Shooter, Compilation, Direct control, Motion control",Retro Studios Inc.,"Nintendo Co., Ltd."
223654,Animal Well,2024-05-09,8.85,https://www.mobygames.com/game/223654/animal-well/,"Windows, Nintendo Switch, PlayStation 5","Action, Side view, Platform, Metroidvania, Fantasy, 2D scrolling, Direct control",Shared Memory LLC,Bigmode
25103,The Legend of Zelda: Twilight Princess,2006-11-19,8.85,https://www.mobygames.com/game/25103/the-legend-of-zelda-twilight-princess/,"GameCube, Wii, Wii U, Android","Action, Metroidvania, Puzzle elements, Fantasy, War, Behind view, Direct control, Motion control, Medieval",Nintendo EAD,"Nintendo Co., Ltd."
62785,The Legend of Zelda: A Link Between Worlds,2013-11-22,8.84,https://www.mobygames.com/game/62785/the-legend-of-zelda-a-link-between-worlds/,Nintendo 3DS,"Action, Metroidvania, Puzzle elements, Fantasy, Diagonal-down, Direct control",Nintendo EAD,"Nintendo Co., Ltd."
161320,It Takes Two,2021-03-26,8.84,https://www.mobygames.com/game/161320/it-takes-two/,"Windows, PlayStation 4, Xbox One, Nintendo Switch, PlayStation 5, Xbox Series","Action, Side view, Platform, Puzzle elements, Fantasy, Romance, Behind view, Mini-games, Direct control, Contemporary",Hazelight Studios AB,"Electronic Arts, Inc."
52057,Total War: Shogun 2,2011-02-10,8.83,https://www.mobygames.com/game/52057/total-war-shogun-2/,"Windows, Linux, Macintosh","Strategy / tactics, Historical events, Real-time, Turn-based, Diagonal-down, Free camera, Point and select, Multiple units/characters control, Japan (Ancient/Classical/Medieval), Turn-based strategy (TBS), Real-time tactics (RTT)","Creative Assembly Ltd., The","1C-SoftClub, ak tronic Software & Services GmbH, SEGA Europe Ltd., Feral Interactive Ltd."
37535,LittleBigPlanet,2008-10-27,8.83,https://www.mobygames.com/game/37535/littlebigplanet/,PlayStation 3,"Action, Side view, Platform, Puzzle elements, Fantasy, 2D scrolling, Direct control",Media Molecule Ltd.,"Sony Computer Entertainment Europe Ltd., ak tronic Software & Services GmbH, Sony Computer Entertainment Inc., Sony Computer Entertainment America Inc."
